model,technique,rows_per_pos,execution_time_sec,accuracy,num_windows
llama3.1:8b,zero,300,93.28896021842957,0.06220095693779904,209
llama3.1:8b,few,300,86.79999804496765,0.23923444976076555,209
llama3.1:8b,zero_rag,300,116.86906147003174,0.10526315789473684,209
zephyr:latest,zero,300,193.86652994155884,0.07655502392344497,209
zephyr:latest,few,300,185.42962217330933,0.11483253588516747,209
zephyr:latest,zero_rag,300,132.20960021018982,0.09090909090909091,209
llama3.1:8b,zero,600,92.57461476325989,0.06220095693779904,209
llama3.1:8b,few,600,87.42492032051086,0.18660287081339713,209
llama3.1:8b,zero_rag,600,117.89174389839172,0.10526315789473684,209
zephyr:latest,zero,600,158.65527391433716,0.04784688995215311,209
zephyr:latest,few,600,170.96635031700134,0.10047846889952153,209
zephyr:latest,zero_rag,600,127.68483257293701,0.09090909090909091,209
llama3.1:8b,zero,900,92.25449085235596,0.05314009661835749,207
llama3.1:8b,few,900,86.62031722068787,0.17391304347826086,207
llama3.1:8b,zero_rag,900,125.12105250358582,0.12560386473429952,207
zephyr:latest,zero,900,158.86607670783997,0.07246376811594203,207
zephyr:latest,few,900,195.94167947769165,0.12077294685990338,207
zephyr:latest,zero_rag,900,137.29930114746094,0.09178743961352658,207
